firstname,Total,J_1908,J_1909,J_1910,J_1911,J_1912,J_1913,J_1914,J_1915,J_1916,J_1917,J_1918,J_1919,J_1920,J_1921,J_1922,J_1923,J_1924,J_1925,J_1926,J_1927,J_1928,J_1929,J_1930,J_1931,J_1932,J_1933,J_1934,J_1935,J_1936,J_1937,J_1938,J_1939,J_1940,J_1941,J_1942,J_1943,J_1944,J_1945,J_1946,J_1947,J_1948,J_1949,J_1950,J_1951,J_1952,J_1953,J_1954,J_1955,J_1956,J_1957,J_1958,J_1959,J_1960,J_1961,J_1962,J_1963,J_1964,J_1965,J_1966,J_1967,J_1968,J_1969,J_1970,J_1971,J_1972,J_1973,J_1974,J_1975,J_1976,J_1977,J_1978,J_1979,J_1980,J_1981,J_1982,J_1983,J_1984,J_1985,J_1986,J_1987,J_1988,J_1989,J_1990,J_1991,J_1992,J_1993,J_1994,J_1995,J_1996,J_1997,J_1998,J_1999,J_2000,J_2001,J_2002,J_2003,J_2004,J_2005,J_2006,J_2007,J_2008,J_2009,J_2010,J_2011,J_2012,J_2013,J_2014
Jean,14896,*,*,*,*,*,*,*,*,*,5,8,14,21,36,36,55,60,87,108,82,124,141,154,181,186,185,216,242,228,257,275,272,291,331,367,418,417,455,488,481,461,445,429,396,345,379,384,356,354,351,360,333,342,280,297,260,295,230,196,177,178,145,128,104,86,99,65,58,63,41,60,55,65,54,32,52,37,42,44,38,44,27,36,34,25,35,34,23,23,22,24,19,24,9,15,16,12,21,15,9,17,13,12,13,10,10,14
Michel,12123,*,*,*,*,*,*,*,*,*,*,*,*,*,3,7,9,14,7,14,21,33,47,58,77,104,123,138,144,200,206,221,228,255,306,362,355,408,390,385,399,376,346,391,347,351,346,305,356,313,323,308,319,301,254,238,263,255,226,194,144,151,149,135,130,85,62,76,58,58,52,57,44,46,41,40,34,37,26,21,29,27,23,30,25,20,27,18,17,15,12,7,15,8,9,10,4,5,5,8,5,6,6,*,6,*,3,3
Pierre,11910,*,*,*,*,*,*,*,*,3,5,4,7,16,33,30,42,42,47,64,71,91,70,116,114,123,113,125,146,160,132,161,182,158,201,230,290,319,315,326,325,299,314,316,292,316,263,310,323,307,323,302,265,266,279,235,247,237,205,193,179,157,130,129,118,105,81,89,68,73,54,72,62,72,56,53,52,56,54,57,46,47,50,52,58,56,55,46,54,29,31,32,36,34,23,20,18,16,25,14,13,12,14,11,7,8,14,18
Daniel,11842,*,*,*,*,*,*,*,*,*,*,*,*,3,*,4,7,6,8,6,11,15,25,22,37,26,35,32,41,43,60,67,61,81,120,152,162,213,216,234,228,225,227,237,243,267,250,266,263,281,263,255,279,269,259,253,269,262,245,242,205,188,152,172,160,151,151,131,132,131,124,117,113,128,129,111,121,150,105,130,125,132,97,111,115,99,104,108,93,111,104,94,91,90,78,69,81,65,53,48,53,62,61,38,55,49,39,42
David,10772,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,*,*,5,*,5,6,5,7,7,6,11,6,9,5,8,11,12,16,11,13,19,16,22,21,14,18,24,24,29,21,28,31,29,43,33,44,50,67,71,76,116,143,178,222,252,261,336,336,337,298,309,343,304,342,293,294,266,329,270,242,218,278,276,305,255,243,237,216,231,210,166,169,157,156,134,118,132,108,93,88,95,107,95,97,77,79,60,61
Philippe,10759,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,4,7,6,6,11,6,14,13,26,28,23,26,34,22,30,27,34,35,48,85,70,85,82,88,123,146,188,224,180,268,277,297,283,315,353,369,347,394,387,391,437,430,405,371,369,310,293,239,264,211,176,154,136,138,120,118,90,91,86,74,74,62,59,64,53,56,51,49,46,36,44,31,30,26,18,22,18,26,18,15,10,10,11,9,*,8,9,9,7,6,7,*
Nicolas,10159,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,5,*,*,4,*,5,3,*,6,11,9,12,21,11,20,12,13,13,42,35,30,21,22,24,27,35,20,36,38,41,50,73,95,100,139,163,162,133,154,188,164,200,203,205,193,212,217,180,260,260,254,354,346,301,268,262,253,239,246,269,229,236,236,209,228,227,238,200,164,178,148,135,146,109,102,121,109,66,76,72,49,56,47,39,34,31
José,10150,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,5,*,7,10,10,14,15,13,23,20,17,21,22,42,38,42,41,50,61,68,79,74,111,141,138,176,222,223,262,301,342,340,387,387,356,427,340,382,366,344,335,325,313,264,267,234,263,209,192,165,155,148,133,131,119,92,88,93,91,53,47,48,41,35,40,24,24,25,29,22,30,34,25,17,13,10,13,17,12,6,8,4,10,7,5,4
Christian,8394,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,*,*,6,6,7,6,8,8,*,21,13,21,22,31,35,33,37,99,72,86,84,124,144,130,134,164,173,185,219,280,274,273,278,283,284,302,309,313,282,303,307,267,223,229,197,195,184,134,131,107,108,97,100,72,59,69,76,56,53,57,38,44,46,50,39,43,33,22,31,21,24,26,16,23,18,20,17,10,11,6,12,7,8,5,10,4,8,12,10
André,8191,*,*,*,*,*,*,*,*,*,6,8,10,20,21,38,44,63,55,71,95,102,94,105,110,139,132,127,146,113,142,157,132,159,203,195,210,224,234,232,240,197,188,164,162,162,155,152,147,144,125,124,118,139,138,125,123,105,117,88,77,61,52,47,42,49,26,33,32,23,23,19,20,31,21,33,54,73,76,62,64,62,73,61,49,45,44,45,49,47,33,47,45,55,39,34,34,25,26,23,21,28,18,22,16,10,8,10
Alexandre,8061,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,4,7,3,6,5,6,3,8,5,5,7,10,9,3,6,7,13,7,19,13,12,10,13,11,12,14,24,27,14,24,26,12,31,28,38,33,37,47,60,74,85,106,118,118,126,135,152,180,180,165,198,163,170,186,195,205,185,151,162,149,157,164,184,179,176,180,194,177,223,193,189,194,168,155,140,162,158,138,123,114,79,113,90,86,105,84,77,93,78,59
Olivier,7876,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,5,3,7,6,4,9,4,5,6,8,9,11,10,13,15,12,30,21,27,41,25,32,27,32,56,71,64,61,83,96,121,153,139,172,197,228,305,271,280,290,290,288,307,318,300,293,297,262,223,180,223,186,175,140,142,147,107,105,95,75,79,78,64,64,51,45,41,33,36,34,25,23,18,14,18,16,12,10,12,16,13,12,6,*,12,14,6,10
Patrick,7555,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,6,4,8,10,9,23,26,27,43,53,73,69,92,113,153,157,216,204,208,205,220,243,280,304,298,268,244,285,267,293,277,258,242,191,155,151,182,97,94,115,92,80,104,102,82,64,80,72,58,60,73,69,41,45,36,31,32,30,27,26,14,23,13,25,13,7,9,14,12,14,7,4,9,9
Antonio,7326,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,*,7,6,12,18,18,17,22,28,29,42,46,48,58,63,64,65,54,61,82,77,77,68,87,85,86,110,102,98,134,159,162,203,216,205,225,247,259,245,292,275,243,249,217,206,172,175,159,156,145,130,156,102,90,87,78,79,59,67,56,53,46,42,29,37,23,32,28,24,18,22,20,16,9,17,12,18,14,6,9,5,6,8,8,7,8,4,5,9,*
Alain,7181,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,4,3,8,6,4,6,8,10,14,15,18,27,37,53,52,54,67,80,98,113,115,150,139,136,163,128,142,151,120,170,172,162,179,163,188,220,231,237,288,235,238,220,251,222,171,171,188,134,108,82,96,95,80,71,65,59,71,66,65,64,52,50,52,46,33,31,39,22,20,20,15,18,9,13,16,15,6,3,5,6,3,3,*,7,*,3,*,*,*
Claude,7113,*,*,*,*,*,*,*,*,*,*,*,*,*,4,6,8,11,15,18,30,24,43,67,72,67,81,88,94,103,129,118,122,133,143,191,205,204,200,189,206,203,208,214,210,208,197,205,205,196,191,192,197,183,175,149,167,171,158,155,139,118,98,76,78,61,40,41,22,41,31,25,26,26,17,15,13,7,7,9,9,8,8,5,*,*,7,*,*,4,3,5,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Christophe,6695,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,7,4,5,3,7,11,8,13,12,19,23,18,33,51,71,81,86,115,142,168,282,289,321,339,305,306,301,277,267,252,212,210,181,195,188,170,146,134,156,126,122,133,113,104,103,107,69,70,54,55,44,30,28,24,16,20,19,9,3,8,3,*,*,*,*,*,*,*,4
